Date,Open,High,Low,Close
12/04/2024,"149.60","151.24","149.53","150.62"
12/03/2024,"149.59","150.23","148.65","149.59"
12/02/2024,"149.76","150.75","149.08","149.59"
11/29/2024,"151.55","151.71","149.47","149.75"
11/28/2024,"151.11","151.96","150.93","151.55"
11/27/2024,"153.08","153.23","150.46","151.12"
11/26/2024,"154.20","154.50","153.01","153.11"
11/25/2024,"154.77","154.77","153.55","154.19"
11/22/2024,"154.54","155.03","153.98","154.76"
11/21/2024,"155.43","155.45","153.92","154.55"
11/20/2024,"154.66","155.89","154.53","155.43"
11/19/2024,"154.67","154.80","153.29","154.66"
11/18/2024,"154.34","155.36","153.86","154.68"
11/15/2024,"156.27","156.75","153.86","154.34"
11/14/2024,"155.47","156.42","155.35","156.27"
11/13/2024,"154.62","155.63","154.34","155.49"
11/12/2024,"153.72","154.92","153.41","154.62"
11/11/2024,"152.65","153.96","152.64","153.72"
11/08/2024,"152.94","153.37","152.15","152.63"
11/07/2024,"154.62","154.70","152.70","152.94"
11/06/2024,"151.62","154.72","151.32","154.64"
11/05/2024,"152.10","152.58","151.34","151.62"
11/04/2024,"153.03","153.03","151.54","152.13"
11/01/2024,"152.03","153.11","151.79","152.99"
10/31/2024,"153.41","153.58","151.84","152.03"
10/30/2024,"153.36","153.56","152.79","153.42"
10/29/2024,"153.29","153.87","152.76","153.37"
10/28/2024,"152.29","153.88","152.29","153.28"
10/25/2024,"151.83","152.38","151.45","152.30"
10/24/2024,"152.68","152.84","151.56","151.84"
10/23/2024,"151.08","153.19","151.02","152.76"
10/22/2024,"150.82","151.20","150.51","151.09"
10/21/2024,"149.56","150.89","149.09","150.84"
10/18/2024,"150.21","150.28","149.37","149.53"
10/17/2024,"149.64","150.32","149.26","150.21"
10/16/2024,"149.21","149.81","148.89","149.64"
10/15/2024,"149.83","149.85","148.85","149.22"
10/14/2024,"149.15","149.99","149.00","149.76"
10/11/2024,"148.57","149.29","148.41","149.14"
10/10/2024,"149.31","149.59","148.38","148.57"
10/09/2024,"148.20","149.37","148.01","149.31"
10/08/2024,"148.16","148.39","147.35","148.20"
10/07/2024,"148.73","149.13","147.86","148.18"
10/04/2024,"146.94","149.00","145.93","148.72"
10/03/2024,"146.41","147.24","146.24","146.95"
10/02/2024,"143.57","146.52","143.43","146.46"
10/01/2024,"143.64","144.53","142.98","143.56"
09/30/2024,"142.16","143.94","141.66","143.64"
09/27/2024,"144.82","146.50","142.07","142.14"
09/26/2024,"144.76","145.20","144.11","144.81"
