Date,Open,High,Low,Close
09/25/2024,"0.8944","0.8992","0.8916","0.8982"
09/24/2024,"0.8992","0.9006","0.8941","0.8944"
09/23/2024,"0.8948","0.9023","0.8948","0.8999"
09/20/2024,"0.8959","0.8980","0.8941","0.8957"
09/19/2024,"0.8993","0.9034","0.8917","0.8960"
09/18/2024,"0.8999","0.9011","0.8935","0.8993"
09/17/2024,"0.8982","0.9000","0.8971","0.8997"
09/16/2024,"0.9019","0.9030","0.8978","0.8981"
09/13/2024,"0.9029","0.9039","0.9006","0.9029"
09/12/2024,"0.9081","0.9087","0.9027","0.9028"
09/11/2024,"0.9074","0.9090","0.9044","0.9080"
09/10/2024,"0.9057","0.9079","0.9049","0.9075"
09/09/2024,"0.9013","0.9064","0.9013","0.9061"
09/06/2024,"0.9000","0.9037","0.8963","0.9020"
09/05/2024,"0.9022","0.9030","0.8992","0.8999"
09/04/2024,"0.9055","0.9060","0.8984","0.9022"
09/03/2024,"0.9031","0.9070","0.8972","0.9055"
09/02/2024,"0.9040","0.9057","0.9026","0.9031"
08/30/2024,"0.9025","0.9055","0.9011","0.9052"
08/29/2024,"0.8992","0.9045","0.8975","0.9026"
08/28/2024,"0.8939","0.9006","0.8934","0.8992"
08/27/2024,"0.8960","0.8968","0.8935","0.8940"
08/26/2024,"0.8921","0.8969","0.8921","0.8959"
08/23/2024,"0.9000","0.9005","0.8926","0.8935"
08/22/2024,"0.8967","0.9010","0.8954","0.8999"
08/21/2024,"0.8984","0.9009","0.8947","0.8968"
08/20/2024,"0.9022","0.9043","0.8982","0.8984"
08/19/2024,"0.9061","0.9073","0.9018","0.9022"
08/16/2024,"0.9114","0.9121","0.9065","0.9068"
08/15/2024,"0.9080","0.9133","0.9075","0.9115"
08/14/2024,"0.9097","0.9104","0.9051","0.9080"
08/13/2024,"0.9147","0.9162","0.9090","0.9095"
08/12/2024,"0.9151","0.9167","0.9140","0.9147"
08/09/2024,"0.9159","0.9170","0.9120","0.9160"
08/08/2024,"0.9154","0.9190","0.9135","0.9159"
08/07/2024,"0.9147","0.9170","0.9142","0.9155"
08/06/2024,"0.9130","0.9172","0.9120","0.9148"
08/05/2024,"0.9157","0.9180","0.9083","0.9130"
08/02/2024,"0.9267","0.9275","0.9150","0.9164"
08/01/2024,"0.9239","0.9279","0.9228","0.9266"
07/31/2024,"0.9245","0.9257","0.9215","0.9237"
07/30/2024,"0.9241","0.9261","0.9227","0.9245"
07/29/2024,"0.9197","0.9257","0.9197","0.9240"
07/26/2024,"0.9218","0.9224","0.9200","0.9210"
07/25/2024,"0.9226","0.9235","0.9198","0.9221"
07/24/2024,"0.9213","0.9238","0.9201","0.9224"
07/23/2024,"0.9182","0.9222","0.9175","0.9214"
07/22/2024,"0.9180","0.9198","0.9171","0.9181"
07/19/2024,"0.9177","0.9203","0.9165","0.9188"
07/18/2024,"0.9140","0.9180","0.9139","0.9177"
07/17/2024,"0.9175","0.9179","0.9133","0.9140"
07/16/2024,"0.9179","0.9199","0.9168","0.9176"
07/15/2024,"0.9168","0.9190","0.9154","0.9178"
07/12/2024,"0.9200","0.9207","0.9164","0.9168"
07/11/2024,"0.9232","0.9238","0.9173","0.9200"
07/10/2024,"0.9248","0.9251","0.9231","0.9234"
07/09/2024,"0.9239","0.9255","0.9228","0.9248"
07/08/2024,"0.9216","0.9257","0.9216","0.9237"
07/05/2024,"0.9247","0.9261","0.9221","0.9226"
07/04/2024,"0.9270","0.9274","0.9244","0.9249"
07/03/2024,"0.9307","0.9315","0.9243","0.9268"
07/02/2024,"0.9312","0.9338","0.9302","0.9306"
07/01/2024,"0.9327","0.9329","0.9279","0.9310"
06/28/2024,"0.9341","0.9359","0.9322","0.9332"
06/27/2024,"0.9363","0.9367","0.9322","0.9342"
06/26/2024,"0.9334","0.9376","0.9329","0.9361"
06/25/2024,"0.9317","0.9354","0.9306","0.9333"
06/24/2024,"0.9343","0.9361","0.9304","0.9315"
06/21/2024,"0.9345","0.9371","0.9326","0.9351"
06/20/2024,"0.9308","0.9345","0.9300","0.9344"
06/19/2024,"0.9311","0.9325","0.9298","0.9306"
06/18/2024,"0.9315","0.9338","0.9292","0.9310"
06/17/2024,"0.9326","0.9358","0.9311","0.9316"
06/14/2024,"0.9312","0.9375","0.9305","0.9342"
06/13/2024,"0.9252","0.9317","0.9242","0.9313"
06/12/2024,"0.9311","0.9316","0.9214","0.9252"
06/11/2024,"0.9289","0.9328","0.9281","0.9311"
06/10/2024,"0.9245","0.9318","0.9245","0.9288"
06/07/2024,"0.9184","0.9260","0.9172","0.9244"
06/06/2024,"0.9201","0.9206","0.9172","0.9184"
06/05/2024,"0.9192","0.9213","0.9180","0.9199"
06/04/2024,"0.9171","0.9209","0.9160","0.9190"
06/03/2024,"0.9210","0.9236","0.9169","0.9172"
05/31/2024,"0.9231","0.9250","0.9188","0.9219"
05/30/2024,"0.9257","0.9270","0.9220","0.9232"
05/29/2024,"0.9209","0.9260","0.9206","0.9257"
05/28/2024,"0.9209","0.9219","0.9181","0.9211"
05/27/2024,"0.9213","0.9225","0.9201","0.9210"
05/24/2024,"0.9248","0.9255","0.9209","0.9221"
05/23/2024,"0.9240","0.9256","0.9206","0.9246"
05/22/2024,"0.9214","0.9245","0.9204","0.9238"
05/21/2024,"0.9210","0.9223","0.9193","0.9213"
05/20/2024,"0.9178","0.9214","0.9178","0.9211"
05/17/2024,"0.9202","0.9229","0.9191","0.9199"
05/16/2024,"0.9187","0.9213","0.9177","0.9201"
05/15/2024,"0.9243","0.9249","0.9184","0.9187"
05/14/2024,"0.9269","0.9287","0.9236","0.9243"
05/13/2024,"0.9269","0.9289","0.9251","0.9268"
05/10/2024,"0.9274","0.9294","0.9266","0.9283"
05/09/2024,"0.9304","0.9325","0.9271","0.9274"
05/08/2024,"0.9299","0.9316","0.9294","0.9303"
05/07/2024,"0.9286","0.9305","0.9268","0.9298"
05/06/2024,"0.9281","0.9298","0.9266","0.9286"
05/03/2024,"0.9323","0.9326","0.9249","0.9291"
05/02/2024,"0.9336","0.9368","0.9317","0.9323"
05/01/2024,"0.9374","0.9390","0.9316","0.9333"
04/30/2024,"0.9326","0.9377","0.9314","0.9375"
04/29/2024,"0.9345","0.9355","0.9315","0.9327"
