,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,88.60105895996094,91.83999633789062,90.97750091552734,91.27999877929688,110737200.0,2.0,2.970893640254687,91.3552361146986,79.01739953593618,62.80719289317139,107.51488246437891,26.844631784261235,82.71678288777669,76.59069035847982,28.6200008392334,53.0682318077459
0,2020-07-01,AMGN,222.0454864501953,256.2300109863281,232.5800018310547,235.52000427246094,6575800.0,2.0,3.3621969242968532,214.87380889051133,185.11615540392228,61.27964865339248,269.59805335277724,29.661265471781256,198.65752970377605,199.64962463378907,28.6200008392334,53.0682318077459
0,2020-07-01,AXP,88.78776550292969,96.95999908447266,93.63999938964844,95.25,3301000.0,2.0,-0.3752236699988458,106.46847390623569,84.61571569947719,48.50481499057149,-66.25432480425549,1.8251773356805077,93.76125462849934,87.44673754374186,28.6200008392334,53.0682318077459
0,2020-07-01,BA,180.32000732421875,190.61000061035156,180.0399932861328,185.8800048828125,49036700.0,2.0,5.443193477575562,220.72113910564764,160.93286327472345,50.92577108147878,24.220608346258853,9.062550924559435,176.4723347981771,155.6141675313314,28.6200008392334,53.0682318077459
0,2020-07-01,CAT,114.37262725830078,129.39999389648438,125.87999725341797,129.3800048828125,2807800.0,2.0,1.2064005258175854,123.82626283505185,107.45393583438174,52.865426077362,35.87390392003844,11.101666339373834,113.19828643798829,107.73221015930176,28.6200008392334,53.0682318077459
0,2020-07-01,CRM,190.82415771484375,192.82000732421875,187.4600067138672,188.10000610351562,4754600.0,2.0,4.168974951147845,193.98818271165848,168.10039761060713,58.10430480299411,139.93174518001166,21.493815905596346,179.1904790242513,169.99898325602214,28.6200008392334,53.0682318077459
0,2020-07-01,CSCO,39.809043884277344,46.720001220703125,46.0,46.540000915527344,17129500.0,2.0,0.2493921239312087,41.85578120958186,37.82624927747868,53.160551022309136,19.573448327710246,10.31751739999872,39.79376805623372,38.174527676900226,28.6200008392334,53.0682318077459
0,2020-07-01,CVX,72.01657104492188,90.7699966430664,87.55000305175781,89.27999877929688,6379400.0,2.0,-0.9436671534636645,84.13187008991957,68.04072054728746,47.829186941513306,-92.07009736402746,6.475812082140524,76.19684193929037,73.86429595947266,28.6200008392334,53.0682318077459
0,2020-07-01,DIS,111.6309585571289,115.5999984741211,112.29000091552734,112.81999969482422,11930900.0,2.0,-0.958125167881704,125.69831324896346,105.14592045464981,49.235695654759475,-76.90018987228184,0.030421825295526995,116.19654922485351,110.02001876831055,28.6200008392334,53.0682318077459
0,2020-07-01,GS,176.9806365966797,199.74000549316406,195.52000427246094,198.8800048828125,2620100.0,2.0,0.5549835005797377,199.39269253456197,167.86291964805523,50.9627625423261,-35.7060339005765,4.814324306706707,180.7165278116862,169.94709320068358,28.6200008392334,53.0682318077459
